City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,Muncar,-8.4333,114.3333,76.35,92,100,4.54,ID,2023-02-04 11:46:53
231,Bousso,10.4795,16.7117,99.64,8,61,8.14,TD,2023-02-04 11:51:45
232,Chake Chake,-5.2459,39.7666,89.78,50,65,9.04,TZ,2023-02-04 11:51:46
233,Fortuna,40.5982,-124.1573,48.92,83,0,8.01,US,2023-02-04 11:51:47
234,Coquimbo,-29.9533,-71.3436,64.13,88,100,2.91,CL,2023-02-04 11:51:48
235,Chabahar,25.2919,60.643,74.17,69,0,16.28,IR,2023-02-04 11:51:50
236,Pevek,69.7008,170.3133,-34.31,100,38,5.06,RU,2023-02-04 11:51:51
237,Huilong,31.8111,121.655,41.94,75,5,6.93,CN,2023-02-04 11:51:52
238,Palmer,42.1584,-72.3287,-7.15,36,0,14.97,US,2023-02-04 11:51:53
239,Preston,53.7667,-2.7167,49.68,81,100,12.88,GB,2023-02-04 11:51:54
240,The Valley,18.217,-63.0578,77.14,78,40,14.97,AI,2023-02-04 11:51:55
241,Mont-De-Marsan,44.0,-0.6667,52.79,70,0,2.3,FR,2023-02-04 11:51:57
242,Mogadishu,2.0371,45.3438,84.07,70,0,17.27,SO,2023-02-04 11:51:58
243,Kalmunai,7.4167,81.8167,79.11,84,97,9.24,LK,2023-02-04 11:51:59
244,Korla,41.7597,86.1469,29.05,68,100,2.39,CN,2023-02-04 11:52:00
245,Uppsala,60.0,17.75,24.31,80,24,8.05,SE,2023-02-04 11:52:01
246,Morrinhos,-17.7311,-49.0994,71.94,88,100,2.17,BR,2023-02-04 11:52:04
247,Trincomalee,8.5711,81.2335,79.12,84,64,14.32,LK,2023-02-04 11:52:05
248,Lokosovo,61.1333,74.8167,2.82,99,41,4.38,RU,2023-02-04 11:52:06
249,Paamiut,61.994,-49.6678,-0.71,83,58,12.19,GL,2023-02-04 11:52:07
250,Kloulklubed,7.0419,134.2556,81.79,81,57,15.73,PW,2023-02-04 11:52:08
251,Poum,-20.2333,164.0167,82.09,82,82,6.17,NC,2023-02-04 11:52:09
252,Kiunga,-6.1219,141.2906,73.87,99,100,2.06,PG,2023-02-04 11:52:10
253,Mollendo,-17.0231,-72.0147,73.76,84,80,4.05,PE,2023-02-04 11:52:11
254,Ambulu,-8.345,113.6058,77.05,91,100,6.04,ID,2023-02-04 11:52:12
255,Lasa,46.6166,10.7002,47.28,79,54,11.27,IT,2023-02-04 11:52:15
256,Adrar,20.5022,-10.0711,65.39,16,100,16.08,MR,2023-02-04 11:52:16
257,Alice Springs,-23.7,133.8833,67.55,52,0,6.91,AU,2023-02-04 11:52:17
258,Los Llanos De Aridane,28.6585,-17.9182,62.35,70,40,11.01,ES,2023-02-04 11:52:18
259,Kenai,60.5544,-151.2583,26.1,93,100,4.61,US,2023-02-04 11:52:19
260,Dongsheng,39.8161,109.9776,24.94,30,0,8.57,CN,2023-02-04 11:52:20
261,Dudinka,69.4058,86.1778,8.15,96,100,7.52,RU,2023-02-04 11:52:21
